course,year,exercises,avg_locs,avg_best_score
Introduction to Algorithms,1,38,43.833333333333336,0.8891435441142971
Programming 1,1,214,29.576190476190476,0.8920690007168937
Programming 1 (advanced),1,18,37.23076923076923,0.8448922683088057
Computer Systems,1.5,6,94.16666666666667,0.9664261656464368
Programming 2,1.5,78,69.56,0.8962221396004961
Programming 2 (advanced),1.5,11,60.57142857142857,0.7812142969401031
C# Language and .NET Framework,2,24,362.8333333333333,0.8994288362894327
Java,2,14,139.42857142857142,0.9449910817610281
Programming 3,2,7,57.166666666666664,0.9098501345549932
Programming in C++,2,32,208.38709677419354,0.802700435662019
Web Applications,2,25,122.96,0.8320048205634433
Advanced C++ Programming,2.5,6,280.6666666666667,0.9434166938169227
Introduction to Artificial Intelligence,2.5,3,139.33333333333334,0.8044618732204404
Non-Procedural Programming,2.5,63,15.634920634920634,0.9203051578453149
Programming in Python,2.5,3,122.66666666666667,0.8504326854873033
Introduction to Language Technologies,3,1,55.0,0.995098039215687
Parallel Programming,3.5,3,54.0,0.9678157424251174
Data Structures I,4,8,118.375,0.9800828954869006
Large scale optimization,4,5,86.8,0.6716666666666666
